"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2077,160,"NZL","New Zealand",1,"Auckland","","","Regional Council","Regional Council"
2078,160,"NZL","New Zealand",2,"Bay of Plenty","","","Regional Council","Regional Council"
2079,160,"NZL","New Zealand",3,"Canterbury","","","Regional Council","Regional Council"
2080,160,"NZL","New Zealand",4,"Chatham Islands","","","Territorial Authority","Territorial Authority"
2081,160,"NZL","New Zealand",5,"Gisborne","","East Coast","Regional Council","Regional Council"
2082,160,"NZL","New Zealand",6,"Hawke's Bay","","Hawkes Bay","Regional Council","Regional Council"
2083,160,"NZL","New Zealand",7,"Manawatu-Wanganui","","Wanganui-Mawanatu","Regional Council","Regional Council"
2084,160,"NZL","New Zealand",8,"Marlborough","","","Unitary Authority","Unitary Authority"
2085,160,"NZL","New Zealand",9,"Nelson","","","Unitary Authority","Unitary Authority"
2086,160,"NZL","New Zealand",10,"Northland","","","Regional Council","Regional Council"
2087,160,"NZL","New Zealand",11,"Otago","","","Regional Council","Regional Council"
2088,160,"NZL","New Zealand",12,"Southland","","","Regional Council","Regional Council"
2089,160,"NZL","New Zealand",13,"Taranaki","","New Plymouth","Regional Council","Regional Council"
2090,160,"NZL","New Zealand",14,"Waikato","","","Regional Council","Regional Council"
2091,160,"NZL","New Zealand",15,"Wellington","","","Regional Council","Regional Council"
2092,160,"NZL","New Zealand",16,"West Coast","","","Regional Council","Regional Council"
